Word;Translation;Sentence;SentenceTranslation
mógłbyś;could you;Czy mógłbyś mi pomóc?;Could you help me?
czasami;sometimes;Czasami musimy podjąć trudne decyzje.;Sometimes we have to make difficult decisions.
uczę;I teach;Uczę się, żeby rozwijać swoje umiejętności.;I am learning to develop my skills.
rozwijam;I develop;Uczę się, żeby rozwijać swoje umiejętności.;I am learning to develop my skills.
najgorszy;worst;To był najgorszy dzień w moim życiu.;It was the worst day of my life.
powinien;should;Powinieneś zamknąć drzwi na klucz, gdy wychodzisz.;You should lock the door when you leave.
drugiego;second;To jest drugie miejsce, które odwiedzam.;This is the second place I visit.
człowieka;person;Jestem przekonany, że każdy człowiek ma prawo do szczęścia.;I believe that every person has the right to happiness.
zamknij;close;Proszę zamknij okno.;Please close the window.
restauracji;restaurant;Zarezerwowałem stolik w restauracji.;I reserved a table at the restaurant.
decyzja;decision;To jest twoja decyzja.;It's your decision.
ważnego;important;Mam ważne powiedzenia do przekazania.;I have important things to say.
powiedzenia;things to say;Mam ważne powiedzenia do przekazania.;I have important things to say.
imprezę;party;Zorganizuję imprezę urodzinową dla mojego przyjaciela.;I will organize a birthday party for my friend.
uważnie;carefully;Proszę czytać instrukcje uważnie przed użyciem.;Please read the instructions carefully before use.
ważne;important;To jest bardzo ważne pytanie.;This is a very important question.
plany;plans;Mam wiele ważnych planów na przyszłość.;I have many important plans for the future.
gdybyś;if you;Gdybyś posłuchał moich rad, byłoby inaczej.;If you had listened to my advice, it would be different.
posłuchał;listened;Gdybyś posłuchał moich rad, byłoby inaczej.;If you had listened to my advice, it would be different.
byłoby;it would be;Gdybyś posłuchał moich rad, byłoby inaczej.;If you had listened to my advice, it would be different.
inaczej;different;Gdybyś posłuchał moich rad, byłoby inaczej.;If you had listened to my advice, it would be different.
poznać;to get to know;Chciałbym cię lepiej poznać.;I would like to get to know you better.
zadać;to ask;Chciałbym zadać ci kilka pytań.;I would like to ask you a few questions.
weź;take;Proszę weź parasol w razie deszczu.;Please take an umbrella in case of rain.
parasol;umbrella;Proszę weź parasol w razie deszczu.;Please take an umbrella in case of rain.
deszczu;rain;Proszę weź parasol w razie deszczu.;Please take an umbrella in case of rain.
zgadza;agrees;Ona się zgadza z moimi planami.;She agrees with my plans.
niesamowitą;amazing;To była niesamowita podróż.;It was an amazing journey.
pracę;work;Robię dobrą pracę w mojej firmie.;I am doing a good job in my company.
projektem;project;Pracuję nad ważnym projektem.;I am working on an important project.
ludźmi;people;Lubię rozmawiać z różnymi ludźmi.;I like talking to different people.
powinniśmy;we should;Powinniśmy szanować siebie nawzajem.;We should respect each other.
szanować;to respect;Powinniśmy szanować siebie nawzajem.;We should respect each other.
lekarzem;doctor;Chciałbym zostać lekarzem w przyszłości.;I would like to become a doctor in the future.
dzieciństwa;childhood;Mam wiele pięknych wspomnień z mojego dzieciństwa.;I have many beautiful memories from my childhood.
lekarzem;doctor;Chciałbym zostać lekarzem w przyszłości.;I would like to become a doctor in the future.
przyszłości;future;Chciałbym mieć pewność co do mojej przyszłości.;I would like to have certainty about my future.
jedzenia;food;Kupiłem dużo jedzenia na przyjęcie.;I bought a lot of food for the party.
przybycie;arrival;Czekamy na twoje przybycie na lotnisku.;We are waiting for your arrival at the airport.
względu;due to;Nie mogę przyjść na spotkanie względem mojej choroby.;I can't come to the meeting due to my illness.
chorobę;illness;Nie mogę przyjść na spotkanie względem mojej choroby.;I can't come to the meeting due to my illness.
najlepszy;the best;To był najlepszy rok w moim życiu.;It was the best year of my life.
rok;year;To był najlepszy rok w moim życiu.;It was the best year of my life.
życiu;life;To był najlepszy rok w moim życiu.;It was the best year of my life.
angielsku;in English;Czy możemy rozmawiać po angielsku?;Can we speak in English?
zabawny;funny;Twój żart był bardzo zabawny.;Your joke was very funny.
głośniej;louder;Proszę mówić głośniej, nie słyszę dobrze.;Please speak louder, I can't hear well.
słyszę;I hear;Słyszę ciekawe dźwięki z zewnątrz.;I hear interesting sounds from outside.
robił;he did;On robił dobrze w swojej pracy.;He did well in his job.
dobrzy;good;Dobrzy ludzie zawsze pomagają innym.;Good people always help others.
robili;they did;Oni robili dobrą pracę w swoim projekcie.;They did a good job in their project.
starają;they try;Oni się starają, aby osiągnąć sukces.;They try to achieve success.
odnoszą;they achieve;Oni odnoszą sukcesy w swojej karierze.;They achieve success in their career.
sukcesy;successes;Oni odnoszą sukcesy w swojej karierze.;They achieve success in their career.
inteligentne;intelligent;Twoje odpowiedzi są bardzo inteligentne.;Your answers are very intelligent.
zrobię;I will do;Zrobię wszystko, żeby ci pomóc.;I will do everything to help you.
robił;he did;On robił dobrze w swojej pracy.;He did well in his job.
zamieszkajmy;let's live;Zamieszkajmy razem i zobaczmy, jak będzie.;Let's live together and see how it goes.
własnym;own;Chcę mieć swój własny dom w przyszłości.;I want to have my own house in the future.
włączyć;to turn on;Proszę włączyć telewizor.;Please turn on the TV.
sami;ourselves;Zrobimy to sami, nie potrzebujemy pomocy.;We will do it ourselves, we don't need help.
uspokój;calm down;Proszę się uspokoić, wszystko będzie dobrze.;Please calm down, everything will be fine.
zgodny;consistent;Twoje działania nie są zgodne z twoimi słowami.;Your actions are not consistent with your words.
robił;he did;On robił dobrą pracę w swojej firmie.;He did a good job in his company.
poszli;they went;Poszli na spacer w parku.;They went for a walk in the park.
uwierzyć;to believe;Nie mogę uwierzyć w to, co się stało.;I can't believe what happened.
skończyłem;I finished;Skończyłem czytać tę książkę. Była świetna.;I finished reading this book. It was great.
wyjechać;to leave;Muszę wyjechać z miasta na kilka dni.;I need to leave the city for a few days.
wakacje;vacation;Spędzę wakacje na plaży.;I will spend my vacation at the beach.
spotkaniem;meeting;Przyjdź na spotkanie o 10:00 rano.;Come to the meeting at 10:00 AM.
kawę;coffee;Czy chcesz filiżankę kawy?;Do you want a cup of coffee?
buty;shoes;Kupiłem nowe buty wczoraj.;I bought new shoes yesterday.
powtórz;repeat;Proszę powtórzyć to, co powiedziałeś.;Please repeat what you said.
gościa;guest;Przywitaj gościa serdecznie.;Welcome the guest warmly.
mieszka;lives;Ona mieszka obok mojego domu.;She lives next to my house.
obok;next to;Ona mieszka obok mojego domu.;She lives next to my house.
pracuje;works;Ona pracuje jako nauczyciel w szkole.;She works as a teacher at the school.
swoim;her;Ona zaczęła rozwijać swoje własne projekty.;She started developing her own projects.
projektem;project;Ona zaczęła rozwijać swoje własne projekty.;She started developing her own projects.
zachowuje;behaves;On zachowuje się bardzo dziwnie.;He behaves very strangely.
przyjdziesz;you will come;Czy przyjdziesz na moje przyjęcie urodzinowe?;Will you come to my birthday party?
spóźnimy;we will be late;Jeśli się nie pospieszymy, spóźnimy się na spotkanie.;If we don't hurry, we will be late for the meeting.
najlepszym;the best;Jesteś moim najlepszym przyjacielem.;You are my best friend.
przyjacielem;friend;Jesteś moim najlepszym przyjacielem.;You are my best friend.
spróbować;to try;Chciałbym spróbować tego nowego dania.;I would like to try this new dish.
załatwić;to handle;Muszę załatwić kilka spraw przed wyjazdem.;I need to handle a few things before leaving.
spraw;things;Muszę załatwić kilka spraw przed wyjazdem.;I need to handle a few things before leaving.
zrozumienia;understanding;Dziękuję za wyrazy zrozumienia.;Thank you for your understanding.
spróbuj;try;Spróbuj tego ciasta, jest pyszne.;Try this cake, it's delicious.
mocno;strongly;Wierzę mocno w twoje umiejętności.;I believe strongly in your abilities.
udało;it succeeded;Udało ci się osiągnąć swój cel.;You succeeded in achieving your goal.
osiągnąć;to achieve;Udało ci się osiągnąć swój cel.;You succeeded in achieving your goal.
cel;goal;Udało ci się osiągnąć swój cel.;You succeeded in achieving your goal.
przyjść;to come;Czy możesz przyjść na spotkanie jutro o 9:00?;Can you come to the meeting tomorrow at 9:00?
zobowiązań;commitments;Muszę zakończyć swoje zobowiązania przed wyjazdem.;I need to finish my commitments before leaving.
działo;it happened;Nie wiem, co się działo, kiedy mnie nie było.;I don't know what happened when I was away.
tamtym;that;Nie pamiętam tamtego dnia.;I don't remember that day.
dobranoc;good night;Dobranoc, śpij dobrze.;Good night, sleep well.
śpij;sleep;Dobranoc, śpij dobrze.;Good night, sleep well.
powinniśmy;we should;Powinniśmy zrobić coś, żeby to naprawić.;We should do something to fix it.
przejmuj;worry;Nie przejmuj się opinią innych.;Don't worry about other people's opinions.
opinią;opinion;Nie przejmuj się opinią innych.;Don't worry about other people's opinions.
dumny;proud;Jestem dumny z twojego osiągnięcia.;I am proud of your achievement.
podać;to give;Proszę podać mi swój numer telefonu.;Please give me your phone number.
swój;your;Proszę podać mi swój numer telefonu.;Please give me your phone number.
telefonu;phone number;Proszę podać mi swój numer telefonu.;Please give me your phone number.
piękne;beautiful;To jest piękne miejsce.;This is a beautiful place.
zmierzasz;you are heading;Gdzie zmierzasz?;Where are you heading?
niesamowite;amazing;To było niesamowite przeżycie.;It was an amazing experience.
wejdź;come in;Proszę wejdź do środka.;Please come in.
pracowity;hardworking;Jestem pracowitym studentem.;I am a hardworking student.
szanuję;I respect;Szanuję twoją opinię na ten temat.;I respect your opinion on this matter.
opinię;opinion;Szanuję twoją opinię na ten temat.;I respect your opinion on this matter.
podróżowanie;traveling;Kocham podróżowanie i poznawanie nowych miejsc.;I love traveling and exploring new places.
marzenie;dream;Moje marzenie to zwiedzić cały świat.;My dream is to travel the world.
poszło;it went;Jak poszło twoje spotkanie biznesowe?;How did your business meeting go?
poleciłeś;you recommended;Poleciłeś mi tę książkę, jest świetna.;You recommended this book to me, it's great.
szafie;in the closet;Moje ubrania są w szafie.;My clothes are in the closet.
poważna;serious;To jest poważny problem, musimy go rozwiązać.;This is a serious problem, we need to solve it.
projekt;project;Pracujemy nad ważnym projektem dla klienta.;We are working on an important project for the client.
takich;such;Nie lubię takich sytuacji, są bardzo stresujące.;I don't like such situations, they are very stressful.
sytuacji;situations;Nie lubię takich sytuacji, są bardzo stresujące.;I don't like such situations, they are very stressful.
kłótni;argument;Mamy czasami kłótnie, ale zawsze się godzimy.;We have arguments sometimes, but we always reconcile.
spotkaniu;meeting;Czy przyjdziesz na nasze spotkanie jutro?;Will you come to our meeting tomorrow?
słyszysz;you hear;Czy słyszysz ten dźwięk?;Do you hear that sound?
wysłuchał;listened;On mnie wysłuchał i zrozumiał moje stanowisko.;He listened to me and understood my position.
spędziliśmy;we spent;Spędziliśmy miłe popołudnie razem.;We spent a nice afternoon together.
popołudnie;afternoon;Spędziliśmy miłe popołudnie razem.;We spent a nice afternoon together.
strach;fear;Czuję strach przed wystąpieniami publicznymi.;I feel fear of public speaking.
śmiercią;death;Nikt nie lubi myśleć o śmierci.;No one likes to think about death.
naturalny;natural;Jestem naturalnym blondynem.;I am a natural blond.
umyj;wash;Proszę umyj ręce przed jedzeniem.;Please wash your hands before eating.
jedzeniem;food;Proszę umyj ręce przed jedzeniem.;Please wash your hands before eating.
musiałam;I had to;Musiałam zrobić zakupy na lunch.;I had to do grocery shopping for lunch.
znajdź;find;Znajdź mi proszę zdjęcie z naszej wczorajszej imprezy.;Please find me a photo from our party yesterday.
zdjęcie;photo;Znajdź mi proszę zdjęcie z naszej wczorajszej imprezy.;Please find me a photo from our party yesterday.
przeczytałem;I read;Przeczytałem tę książkę wieczorem.;I read this book in the evening.
wieczór;evening;Przeczytałem tę książkę wieczorem.;I read this book in the evening.
wolności;freedom;Cieszę się z wolności, którą mam.;I am grateful for the freedom I have.
wczorajszej;yesterday's;Spotkałem wczoraj swoją przyjaciółkę na imprezie.;I met my friend at yesterday's party.
imprezie;party;Spotkałem wczoraj swoją przyjaciółkę na imprezie.;I met my friend at yesterday's party.
potrzebujesz;you need;Czy potrzebujesz pomocy z czymś?;Do you need help with anything?
sukience;dresses;Muszę kupić nową sukienkę na wesele.;I need to buy a new dress for the wedding.
ulubionych;favorite;To jest jedna z moich ulubionych piosenek.;This is one of my favorite songs.
piosenek;songs;To jest jedna z moich ulubionych piosenek.;This is one of my favorite songs.
szukasz;you are looking for;Czego szukasz w tej książce?;What are you looking for in this book?
górze;upstairs;Moje biuro znajduje się na górze.;My office is upstairs.
półki;shelf;Książki są na półce w bibliotece.;The books are on the shelf in the library.
miejsc;places;Odwiedziłem wiele interesujących miejsc.;I have visited many interesting places.
restauracja;restaurant;Polecam tę restaurację, mają świetne jedzenie.;I recommend this restaurant, they have great food.
polecam;I recommend;Polecam tę książkę, jest bardzo interesująca.;I recommend this book, it's very interesting.
łatwe;easy;To jest łatwe zadanie, poradzisz sobie.;It's an easy task, you can handle it.
zadanie;task;To jest łatwe zadanie, poradzisz sobie.;It's an easy task, you can handle it.
wolności;freedom;Wolność to jedno z naszych najważniejszych dóbr.;Freedom is one of our most important values.
troskliwa;caring;Jestem troskliwa opiekunka dla swojej babci.;I am a caring caregiver for my grandmother.
smith;Smith;John Smith jest moim sąsiadem.;John Smith is my neighbor.
dobrym;good;Byłeś dobrym przyjacielem przez te wszystkie lata.;You have been a good friend all these years.
robiłeś;you did;Dobrze robiłeś, że podjąłeś tę decyzję.;You did well in making that decision.
wakacji;vacation;Spędziłem fantastyczne wakacje na Karaibach.;I had a fantastic vacation in the Caribbean.
historia;history;To jest interesująca historia o miłości i przyjaźni.;It's an interesting story about love and friendship.
miłości;love;To jest interesująca historia o miłości i przyjaźni.;It's an interesting story about love and friendship.
wydarzenie;event;To było wyjątkowe wydarzenie w moim życiu.;It was a special event in my life.
delikatne;delicate;To jest delikatne zagadnienie, trzeba być ostrożnym.;It's a delicate matter, one must be cautious.
wrócisz;you will return;Czy wrócisz do domu dzisiaj wieczorem?;Will you return home tonight?
sun;słońce;Sun is shining brightly today.;Słońce świeci dzisiaj jasno.
is;jest;Sun is shining brightly today.;Słońce świeci dzisiaj jasno.
shining;świeci;Sun is shining brightly today.;Słońce świeci dzisiaj jasno.
talentów;talents;On ma wiele różnych talentów.;He has many different talents.
spóźniam;I am late;Przepraszam, że się spóźniam, miałem problemy z dojazdem.;I'm sorry for being late, I had transportation issues.
świetną;great;Robisz świetną robotę, jestem z ciebie dumny.;You're doing a great job, I'm proud of you.
robotę;job;Robisz świetną robotę, jestem z ciebie dumny.;You're doing a great job, I'm proud of you.
omówić;to discuss;Musimy omówić te sprawy na naszym spotkaniu.;We need to discuss these matters at our meeting.
sprawia;brings;Muzyka zawsze sprawia mi radość.;Music always brings me joy.
radość;joy;Muzyka zawsze sprawia mi radość.;Music always brings me joy.
utalentowana;talented;Jestem utalentowaną piosenkarką.;I am a talented singer.
sprawdź;check;Proszę sprawdź te dokumenty pod kątem błędów.;Please check these documents for errors.
wygraliście;you won;Gratulacje! Wygraliście nagrodę za najlepszy projekt.;Congratulations! You won the award for the best project.
nagrodę;award;Gratulacje! Wygraliście nagrodę za najlepszy projekt.;Congratulations! You won the award for the best project.
dolarów;dollars;Wygraliśmy dziesięć tysięcy dolarów w loterii.;We won ten thousand dollars in the lottery.
dbaj;take care;Dbaj o siebie i bądź ostrożny.;Take care of yourself and be cautious.
innym;others;Pomóż innym, gdy tylko możesz.;Help others whenever you can.
zniszczyć;destroy;Nie chcę zniszczyć naszej społeczności swoimi działaniami.;I don't want to destroy our community with my actions.
naszej;our;Nie chcę zniszczyć naszej społeczności swoimi działaniami.;I don't want to destroy our community with my actions.
społeczności;community;Nie chcę zniszczyć naszej społeczności swoimi działaniami.;I don't want to destroy our community with my actions.
inny;different;To jest zupełnie inny temat do omówienia.;This is a completely different topic to discuss.
sprawia;brings;Muzyka zawsze sprawia mi radość.;Music always brings me joy.
radość;joy;Muzyka zawsze sprawia mi radość.;Music always brings me joy.
powrotem;back;Czekam na twój powrót.;I'm waiting for your return.
bogaty;rich;Byłbym bogaty, gdybym wygrał w loterii.;I would be rich if I won the lottery.
podróżowałbym;I would travel;Gdybym miał więcej czasu, podróżowałbym po całym świecie.;If I had more time, I would travel around the world.
całym;whole;Spędziłem cały dzień na sprzątaniu.;I spent the whole day cleaning.
najlepszą;the best;Jesteś moją najlepszą przyjaciółką.;You are my best friend.
przyjaciółką;friend (female);Jesteś moją najlepszą przyjaciółką.;You are my best friend (female).
boga;God;Wierzę w istnienie Boga.;I believe in the existence of God.
możliwości;possibilities;Nie ma ograniczeń dla naszych możliwości.;There are no limitations to our possibilities.
biegać;to run;Lubię biegać rano, to daje mi energię.;I like to run in the morning, it gives me energy.
bawiliśmy;we had fun;Bawiliśmy się świetnie na imprezie urodzinowej.;We had a great time at the birthday party.
imprezie;party;Bawiliśmy się świetnie na imprezie urodzinowej.;We had a great time at the birthday party.
chciałbyś;would you like;Chciałbyś zagrać w grę planszową?;Would you like to play a board game?
zagrać;to play;Chciałbyś zagrać w grę planszową?;Would you like to play a board game?
grę;game;Chciałbyś zagrać w grę planszową?;Would you like to play a board game?
zaczynam;I'm starting;Zaczynam naukę języka angielskiego.;I'm starting to learn English.
naukę;learning;Zaczynam naukę języka angielskiego.;I'm starting to learn English.
języka;language;Zaczynam naukę języka angielskiego.;I'm starting to learn English.
angielskiego;English;Zaczynam naukę języka angielskiego.;I'm starting to learn English.
przeszkadza;bother;Czy moje rozmowy telefoniczne przeszkadzają ci w pracy?;Do my phone calls bother you at work?
pracowałem;I worked;Pracowałem przez dziesięć godzin dziś.;I worked for ten hours today.
godzin;hours;Pracowałem przez dziesięć godzin dziś.;I worked for ten hours today.
luksus;luxury;Poczuj luksus na swojej skórze.;Experience luxury on your skin.
pewna;certain;Jestem pewna swojej decyzji.;I am certain of my decision.
decyzji;decision;Jestem pewna swojej decyzji.;I am certain of my decision.
zupełnie;completely;Nie spodziewałem się tego zupełnie.;I didn't expect that at all.
spodziewałem;I expected;Nie spodziewałem się tego.;I didn't expect that.
filmów;films;Uwielbiam oglądać różne filmy.;I love watching different films.
łatwiejsze;easier;To zadanie jest łatwiejsze niż myślałem.;This task is easier than I thought.
poczekaj;wait;Poczekaj chwilę, sprawdzę to dla ciebie.;Wait a moment, I'll check it for you.
sprawdzić;to check;Muszę sprawdzić tę informację.;I need to check this information.
czekać;to wait;Czekam na ciebie przed kinem.;I'm waiting for you in front of the cinema.
nową;new;Musisz przeczytać tę nową książkę, jest świetna.;You should read this new book, it's great.
przeczytania;to read;Polecam tę książkę do przeczytania.;I recommend this book to read.
silniejsza;stronger;Jestem teraz silniejsza niż kiedykolwiek.;I am stronger now than ever.
nienawiści;hatred;Nienawiść nie prowadzi do niczego dobrego.;Hatred doesn't lead to anything good.
obywatelem;citizen;Jestem obywatelem Polski.;I am a citizen of Poland.
domem;home;Czuję się najbardziej komfortowo w swoim domu.;I feel most comfortable at home.
a;and;Lubię zarówno dom, jak i restaurację.;I like both home and restaurant.
restauracją;restaurant;Lubię zarówno dom, jak i restaurację.;I like both home and restaurant.
wody;water;Proszę przynieść mi szklankę wody.;Please bring me a glass of water.
oglądać;to watch;Lubię oglądać filmy w kinie.;I enjoy watching movies at the cinema.
filmy;movies;Lubię oglądać różne filmy.;I enjoy watching different movies.
zła;bad;Nie poleciłbym ci przeczytania tej książki, jest zła.;I wouldn't recommend you to read that book, it's bad.
poleciłbyś;would you recommend;Czy poleciłbyś mi jakąś dobrą książkę do przeczytania?;Would you recommend me a good book to read?
przeczytania;to read;Czy poleciłbyś mi jakąś dobrą książkę do przeczytania?;Would you recommend me a good book to read?
zmienić;to change;Muszę zmienić swoje podejście do tej sytuacji.;I need to change my approach to this situation.
lepsze;better;Wierzę, że jutro będzie lepszy dzień.;I believe that tomorrow will be a better day.
dotyczy;it concerns;To pytanie dotyczy naszej przyszłości.;This question concerns our future.
oglądam;I watch;Oglądam telewizję wieczorami, żeby się zrelaksować.;I watch TV in the evenings to relax.
telewizję;TV;Oglądam telewizję wieczorami, żeby się zrelaksować.;I watch TV in the evenings to relax.
uwierzysz;will you believe;Uwierzysz w to, co się stało?;Will you believe what happened?
przypadku;case;W tym przypadku musimy podjąć odpowiednie kroki.;In this case, we need to take appropriate actions.
sztuka;art;Sztuka ma wiele różnych form wyrazu.;Art has many different forms of expression.
zabierz;take;Zabierz parasol, zaczyna padać.;Take an umbrella, it's starting to rain.
padać;to rain;Zabierz parasol, zaczyna padać.;Take an umbrella, it's starting to rain.
moimi;with my;Idę na spacer z moimi przyjaciółkami.;I'm going for a walk with my friends.
przyjaciółkami;friends (female);Idę na spacer z moimi przyjaciółkami.;I'm going for a walk with my friends (female).
szansę;chance;Nie zmarnuj szansy, która się przed tobą otwiera.;Don't waste the chance that is presented to you.
zmarnowałeś;you wasted;Zmarnowałeś swoją szansę na sukces.;You wasted your chance for success.
spotkam;I will meet;Spotkam się z chłopakami w barze na piwo.;I will meet up with the guys at the bar for a beer.
chłopakami;guys;Spotkam się z chłopakami w barze na piwo.;I will meet up with the guys at the bar for a beer.
piwie;beer;Spotkam się z chłopakami w barze na piwo.;I will meet up with the guys at the bar for a beer.
najlepsza;the best;Jestem najlepsza w tym, co robię.;I am the best at what I do.
bije;succeeds;Ona bije sukces za sukcesem w swojej karierze.;She succeeds one success after another in her career.
sukces;success;Ona bije sukces za sukcesem w swojej karierze.;She succeeds one success after another in her career.
pełnią;fulfill;Nasi rodzice pełnią ważną rolę w naszym życiu.;Our parents fulfill an important role in our lives.
wspierają;support;Nasi przyjaciele zawsze nas wspierają w trudnych chwilach.;Our friends always support us in difficult times.
trudnych;difficult;Nasi przyjaciele zawsze nas wspierają w trudnych chwilach.;Our friends always support us in difficult times.
chwilach;times;Nasi przyjaciele zawsze nas wspierają w trudnych chwilach.;Our friends always support us in difficult times.
przyszłość;future;Cieszę się na przyszłość i to, co przyniesie.;I am looking forward to the future and what it will bring.
zakończenie;ending;Nie spodziewałem się takiego zakończenia historii.;I didn't expect such an ending to the story.
projektu;project;Dziękuję za współpracę przy tym projekcie.;Thank you for your collaboration on this project.
pomysłu;idea;To jest wspaniały pomysł, zróbmy to!;That's a great idea, let's do it!
wspaniałe;wonderful;To było wspaniałe przeżycie, nigdy tego nie zapomnę.;It was a wonderful experience, I will never forget it.
przeżycie;experience;To było wspaniałe przeżycie, nigdy tego nie zapomnę.;It was a wonderful experience, I will never forget it.
weekend;weekend;Nie mogę się doczekać weekendu, będę mieć wolne.;I can't wait for the weekend, I'll have some time off.
zadzwonię;I will call;Zadzwonię do rodziców i powiem im o tym.;I will call my parents and tell them about it.
rodziców;parents;Zadzwonię do rodziców i powiem im o tym.;I will call my parents and tell them about it.
dziwnego;strange;To jest dziwne zachowanie, nie mogę tego zrozumieć.;This is strange behavior, I can't understand it.
ojcem;father;Mój ojciec jest bardzo troskliwy i opiekuńczy.;My father is very caring and nurturing.
psa;dog;Mam psa, jest najlepszym przyjacielem.;I have a dog, he is my best friend.
popełniłem;I made;Popełniłem błąd, przepraszam za to.;I made a mistake, I'm sorry for it.
błąd;mistake;Popełniłem błąd, przepraszam za to.;I made a mistake, I'm sorry for it.
wejść;to enter;Proszę wejść do środka, czekam na ciebie.;Please enter inside, I'm waiting for you.
życzę;I wish;Życzę ci powodzenia w nowej pracy.;I wish you good luck in your new job.
powodzenia;good luck;Życzę ci powodzenia w nowej pracy.;I wish you good luck in your new job.
udanych;successful;Życzę ci udanych wejść w nowy rok.;I wish you successful entries into the new year.
wejść;entries;Życzę ci udanych wejść w nowy rok.;I wish you successful entries into the new year.
szczęścia;happiness;Życzę ci dużo szczęścia w twojej nowej przygodzie.;I wish you a lot of happiness in your new adventure.
nowym;new;Życzę ci dużo szczęścia w twojej nowej przygodzie.;I wish you a lot of happiness in your new adventure.
wspólnym;shared;Mamy wiele wspólnych wspomnień.;We have many shared memories.
zdolny;capable;Jesteś zdolny do osiągnięcia wielkich rzeczy.;You are capable of achieving great things.
wysoko;high;Celuj wysoko i nigdy się nie poddawaj.;Aim high and never give up.
poddawaj;give up;Nigdy się nie poddawaj, bo masz ogromny potencjał.;Never give up, because you have great potential.
rodzeństwem;siblings;Moje rodzeństwo jest dla mnie bardzo ważne.;My siblings are very important to me.
jednej;one;Mam tylko jedną szansę, muszę jej skorzystać.;I have only one chance, I have to take it.
życzę;I wish;Życzę ci wszystkiego najlepszego na nowej drodze.;I wish you all the best on your new journey.
najlepszego;the best;Życzę ci wszystkiego najlepszego na nowej drodze.;I wish you all the best on your new journey.
przychodzi;comes;Czasami pomysł przychodzi w najmniej oczekiwanym momencie.;Sometimes the idea comes at the least expected moment.
odpowiednim;appropriate;Wybierz odpowiedni moment na podjęcie decyzji.;Choose the appropriate moment to make a decision.
świątynia;temple;Ta świątynia ma długą historię i jest bardzo ważna dla naszej społeczności.;This temple has a long history and is very important to our community.
zachowanie;behavior;Twoje zachowanie jest nieodpowiednie w tej sytuacji.;Your behavior is inappropriate in this situation.
samego;alone;Czasami dobrze jest być samemu i zastanowić się nad życiem.;Sometimes it's good to be alone and reflect on life.
stron;sides;Obie strony powinny znaleźć kompromis w tej sprawie.;Both sides should find a compromise in this matter.
składa;consists;Ten zespół składa się z utalentowanych muzyków.;This band consists of talented musicians.
ulubiona;favorite;To jest moja ulubiona piosenka, zawsze mnie inspiruje.;This is my favorite song, it always inspires me.
prosić;to ask;Mogę cię prosić o przyniesienie mi szklanki wody?;Can I ask you to bring me a glass of water?
samą;the same;Chciałbym tę samą sukienkę w innym kolorze.;I would like the same dress in a different color.
sukienkę;dress;Chciałbym tę samą sukienkę w innym kolorze.;I would like the same dress in a different color.
niewiele;not much;Nie wiem o tym niewiele, nie mogę ci pomóc.;I don't know much about it, I can't help you.
miasto;city;To jest piękne miasto z wieloma zabytkami.;This is a beautiful city with many monuments.
tekst;text;Przeczytaj ten tekst i odpowiedz na pytania.;Read this text and answer the questions.
dojść;to reach;Potrzebuję dojść do pewnego miejsca, czy możesz mi wskazać drogę?;I need to reach a certain place, can you show me the way?
weekend;weekend;Co planujesz na ten weekend?;What are you planning for this weekend?
zadzwoń;call;Zadzwoń do mnie, gdy będziesz mieć wolny czas.;Call me when you have free time.
policję;police;Musimy zadzwonić na policję, to jest pilne.;We need to call the police, it's urgent.
szczęścia;happiness;Życzę ci dużo szczęścia i powodzenia w przyszłości.;I wish you a lot of happiness and success in the future.
dostaniesz;you will get;Jeśli się postarasz, dostaniesz to, czego pragniesz.;If you work hard, you will get what you want.
piękną;beautiful;To jest piękna melodia, która porusza moje serce.;This is a beautiful melody that touches my heart.
wspaniały;wonderful;Dziękuję za wspaniały wieczór, świetnie się bawiliśmy.;Thank you for a wonderful evening, we had a great time.
rodzina;family;Moja rodzina jest najważniejsza dla mnie.;My family is the most important thing to me.
najważniejsza;the most important;Rodzina jest dla mnie najważniejsza.;Family is the most important thing to me.
wybór;choice;Mam trudny wybór do podjęcia.;I have a difficult choice to make.
kwiat;flower;Podarowałem jej piękny kwiat.;I gave her a beautiful flower.
stołu;table;Udekorowałem stołek kwiatami.;I decorated the table with flowers.
rady;advice;Posłuchaj mojej rady, pomoże ci.;Listen to my advice, it will help you.
dziewczynka;girl;Ta mała dziewczynka jest urocza.;That little girl is adorable.
urocza;adorable;Twoje dziecko jest naprawdę urocze.;Your child is truly adorable.
rozmawiałam;I talked;Rozmawiałam z nią przez godzinę.;I talked to her for an hour.
częścią;part;Jestem częścią zespołu projektowego.;I am part of the project team.
zespołu;team;Jestem częścią zespołu projektowego.;I am part of the project team.
własnych;own;Mam swoje własne zdanie w tej sprawie.;I have my own opinion on this matter.
oczu;eyes;Patrzę w twoje oczy i widzę prawdę.;I look into your eyes and see the truth.
przyjaciele;friends;Moi przyjaciele zawsze mnie wspierają.;My friends always support me.
tęsknimy;we miss;Tęsknimy za tobą, przyjdź już do nas.;We miss you, come to us already.
podaj;give;Podaj mi tę książkę, chcę ją przeczytać.;Give me that book, I want to read it.
pomogę;I will help;Pomogę ci wstać, nie martw się.;I will help you stand up, don't worry.
wstać;to stand up;Pomogę ci wstać, nie martw się.;I will help you stand up, don't worry.
samej;alone;Czasami lubię być sama i odpocząć.;Sometimes I like to be alone and relax.
